Pickup Location,Dropoff Location,Cab Type,Distance (km),Fare (INR),Payment Method,Date,Time
MG Road,Indiranagar,UberGo,17.38,258.56,Card,2024-05-07,12:05:50
Marathahalli,Indiranagar,UberGo,18.19,268.28,Cash,2024-03-05,04:28:23
Whitefield,Marathahalli,UberGo,37.01,494.12,Wallet,2024-09-09,21:09:07
MG Road,Electronic City,UberGo,21.12,303.44,Cash,2024-10-30,15:31:14
Hebbal,Whitefield,UberSUV,25.05,350.6,Cash,2024-08-02,02:46:19
Jayanagar,Indiranagar,UberXL,19.27,281.24,UPI,2024-01-31,01:09:38
MG Road,Whitefield,UberSUV,35.67,478.04,Wallet,2024-08-19,09:36:21
Whitefield,Electronic City,UberXL,16.41,246.92,Cash,2024-05-14,20:18:56
MG Road,Hebbal,UberXL,5.01,110.12,UPI,2024-05-03,00:46:59
MG Road,Indiranagar,UberX,16.29,245.48,Cash,2024-03-14,18:33:22
MG Road,Hebbal,UberGo,7.23,136.76,Cash,2024-04-21,13:35:33
Electronic City,Hebbal,UberSUV,32.81,443.72,UPI,2024-05-22,06:32:49
Koramangala,Whitefield,UberSUV,31.64,429.68,UPI,2024-09-27,04:08:40
Koramangala,Jayanagar,UberBlack,11.84,192.08,Cash,2024-01-13,17:25:48
Hebbal,Electronic City,UberSUV,41.5,548,Wallet,2024-08-26,11:12:15
Jayanagar,Marathahalli,UberSUV,29.96,409.52,UPI,2024-01-16,10:04:46
Koramangala,Marathahalli,UberXL,45.51,596.12,Cash,2024-10-23,19:36:14
Koramangala,Jayanagar,UberX,23.72,334.64,Card,2024-02-16,03:11:49
Marathahalli,Whitefield,UberBlack,32.51,440.12,Wallet,2024-08-30,15:22:03
Electronic City,MG Road,UberGo,42.45,559.4,Wallet,2024-10-04,00:37:05
MG Road,Indiranagar,UberGo,29.38,402.56,Card,2024-11-17,21:21:59
Koramangala,Indiranagar,UberBlack,6.58,128.96,Cash,2024-10-12,15:00:54
MG Road,Jayanagar,UberGo,33.03,446.36,Card,2024-03-31,08:34:23
Whitefield,Marathahalli,UberGo,44.41,582.92,Wallet,2024-03-11,17:55:49
Whitefield,MG Road,UberXL,42.35,558.2,Wallet,2024-07-09,22:47:08
Jayanagar,Koramangala,UberXL,23.29,329.48,Card,2024-08-30,17:37:48
Jayanagar,Whitefield,UberXL,36.93,493.16,Wallet,2024-11-21,15:54:32
Electronic City,Marathahalli,UberXL,4.24,100.88,UPI,2024-01-31,20:26:20
Marathahalli,Jayanagar,UberBlack,42.59,561.08,Cash,2024-08-09,13:33:59
MG Road,Marathahalli,UberBlack,6.5,128,Card,2024-04-14,15:35:44
Hebbal,MG Road,UberX,44.37,582.44,Wallet,2024-05-24,18:31:58
Jayanagar,Indiranagar,UberBlack,44.38,582.56,Cash,2024-04-01,21:01:11
Koramangala,Jayanagar,UberX,23.53,332.36,UPI,2024-01-31,18:07:44
Marathahalli,Hebbal,UberSUV,21.77,311.24,Card,2024-05-29,19:18:26
Hebbal,Koramangala,UberX,28.55,392.6,UPI,2024-08-05,01:28:08
Indiranagar,Koramangala,UberXL,9.31,161.72,Cash,2024-02-11,11:12:12
Whitefield,Indiranagar,UberSUV,14.28,221.36,Wallet,2024-09-19,04:11:48
MG Road,Jayanagar,UberSUV,11.82,191.84,Cash,2024-04-08,14:57:31
Jayanagar,Indiranagar,UberXL,17.06,254.72,UPI,2024-10-04,12:02:05
Jayanagar,Electronic City,UberBlack,12.72,202.64,Card,2024-11-29,16:27:47
Koramangala,Jayanagar,UberBlack,10.12,171.44,Card,2024-10-17,06:33:08
Marathahalli,Hebbal,UberSUV,20.33,293.96,UPI,2024-10-19,10:20:45
Hebbal,Jayanagar,UberGo,38.91,516.92,UPI,2024-10-12,07:26:37
Whitefield,Marathahalli,UberSUV,12.95,205.4,Card,2024-03-21,16:48:13
MG Road,Hebbal,UberSUV,4.77,107.24,Wallet,2024-11-19,16:26:13
Jayanagar,Koramangala,UberXL,36.87,492.44,Card,2024-11-14,07:46:08
MG Road,Koramangala,UberXL,38.17,508.04,Cash,2024-09-30,03:59:31
Jayanagar,MG Road,UberSUV,31.98,433.76,Cash,2024-12-17,15:07:21
Indiranagar,Whitefield,UberXL,5.01,110.12,Cash,2024-03-30,05:02:22
Marathahalli,MG Road,UberGo,33.5,452,UPI,2024-10-05,16:19:36
Whitefield,Electronic City,UberX,46.38,606.56,Cash,2024-09-16,16:34:41
Whitefield,Hebbal,UberSUV,21.52,308.24,Card,2024-05-30,04:07:49
Marathahalli,Jayanagar,UberX,10.84,180.08,UPI,2024-08-27,00:37:52
MG Road,Whitefield,UberXL,19.58,284.96,UPI,2024-10-10,16:39:27
MG Road,Jayanagar,UberSUV,48.26,629.12,UPI,2024-03-28,09:53:10
Whitefield,Koramangala,UberBlack,29.29,401.48,Cash,2024-02-17,07:04:46
Electronic City,Whitefield,UberBlack,22.53,320.36,Card,2024-02-29,08:53:58
Indiranagar,MG Road,UberSUV,42.02,554.24,Cash,2024-01-28,00:36:23
Indiranagar,Hebbal,UberGo,49.36,642.32,Cash,2024-09-17,09:00:35
Koramangala,Hebbal,UberBlack,19.2,280.4,Card,2024-03-31,05:42:37
Electronic City,Jayanagar,UberGo,28.92,397.04,UPI,2024-03-03,22:04:23
Marathahalli,Indiranagar,UberX,41.63,549.56,UPI,2024-06-25,11:07:39
Koramangala,Electronic City,UberBlack,27.8,383.6,Card,2024-04-18,07:22:36
Indiranagar,Jayanagar,UberSUV,10.04,170.48,UPI,2024-11-27,09:00:29
Whitefield,Jayanagar,UberGo,49.69,646.28,Card,2024-07-23,08:40:38
Electronic City,Hebbal,UberSUV,41.61,549.32,Wallet,2024-01-21,00:07:13
Hebbal,Koramangala,UberGo,44.68,586.16,Wallet,2024-05-17,16:36:51
Koramangala,Marathahalli,UberGo,27.8,383.6,Wallet,2024-05-05,10:06:08
Marathahalli,Koramangala,UberBlack,11.08,182.96,UPI,2024-12-25,05:05:56
Jayanagar,Indiranagar,UberXL,9.98,169.76,Card,2024-04-13,13:08:45
Indiranagar,MG Road,UberXL,49.94,649.28,Card,2024-04-08,13:04:34
Whitefield,Indiranagar,UberXL,21.91,312.92,UPI,2024-12-14,16:57:02
Hebbal,Marathahalli,UberX,23.97,337.64,Wallet,2024-09-21,06:10:15
Hebbal,Jayanagar,UberSUV,22.32,317.84,Wallet,2024-06-21,23:31:24
Marathahalli,Jayanagar,UberXL,7.31,137.72,UPI,2024-06-25,13:24:55
Jayanagar,Marathahalli,UberXL,5.99,121.88,Cash,2024-01-15,07:23:32
Koramangala,MG Road,UberGo,17.4,258.8,Wallet,2024-03-24,10:11:13
Jayanagar,Koramangala,UberSUV,27.36,378.32,UPI,2024-08-14,11:08:37
Indiranagar,Marathahalli,UberBlack,11.69,190.28,Card,2024-08-16,00:08:38
Electronic City,MG Road,UberSUV,4.55,104.6,Cash,2024-07-03,21:40:46
Jayanagar,Hebbal,UberXL,16.2,244.4,Card,2024-02-04,10:10:33
Indiranagar,Electronic City,UberSUV,33.86,456.32,Card,2024-03-05,13:56:20
Electronic City,MG Road,UberXL,27,374,UPI,2024-02-21,04:45:20
Indiranagar,Hebbal,UberBlack,9.36,162.32,Card,2024-03-02,07:04:16
Indiranagar,Whitefield,UberXL,22.89,324.68,UPI,2024-08-19,00:23:49
Electronic City,Whitefield,UberX,39.05,518.6,Cash,2024-02-02,01:11:35
Whitefield,Marathahalli,UberX,17.02,254.24,Wallet,2024-09-25,21:26:52
Electronic City,Whitefield,UberSUV,14.73,226.76,UPI,2024-01-12,19:14:03
Marathahalli,Hebbal,UberSUV,35.91,480.92,UPI,2024-06-19,16:08:28
Marathahalli,Jayanagar,UberSUV,41.77,551.24,Card,2024-04-10,14:07:41
MG Road,Hebbal,UberSUV,7.55,140.6,UPI,2024-12-05,13:48:36
Jayanagar,Electronic City,UberGo,40.14,531.68,Wallet,2024-05-12,22:53:47
Whitefield,Marathahalli,UberX,40.15,531.8,Cash,2024-03-14,04:24:33
Whitefield,Electronic City,UberBlack,27,374,Cash,2024-07-19,17:57:31
Marathahalli,MG Road,UberSUV,10.72,178.64,Cash,2024-01-05,11:45:36
MG Road,Hebbal,UberGo,10.7,178.4,Wallet,2024-03-14,06:32:15
Koramangala,Electronic City,UberX,41.47,547.64,Card,2024-05-24,06:22:44
Marathahalli,Whitefield,UberXL,25.55,356.6,Wallet,2024-06-27,14:10:36
MG Road,Whitefield,UberXL,19.01,278.12,Card,2024-09-29,02:14:35
Indiranagar,Marathahalli,UberX,31.73,430.76,Cash,2024-01-05,01:54:02
Whitefield,Jayanagar,UberBlack,17.32,257.84,UPI,2024-08-18,16:57:03
Jayanagar,Koramangala,UberSUV,36.11,483.32,UPI,2024-01-08,14:25:51
Electronic City,Whitefield,UberGo,26.01,362.12,Card,2024-11-18,03:52:35
Electronic City,Jayanagar,UberSUV,13.8,215.6,Wallet,2024-02-11,22:33:54
Indiranagar,Whitefield,UberBlack,24.66,345.92,UPI,2024-01-21,08:52:45
Indiranagar,Jayanagar,UberSUV,6.79,131.48,Card,2024-02-29,23:07:08
Electronic City,MG Road,UberX,38.7,514.4,Card,2024-04-08,14:53:13
Koramangala,Whitefield,UberX,44.66,585.92,Card,2024-09-05,20:03:49
Whitefield,Electronic City,UberSUV,38.21,508.52,Card,2024-09-21,19:47:20
Jayanagar,Whitefield,UberSUV,2.16,75.92,Cash,2024-02-08,06:11:34
Jayanagar,Whitefield,UberSUV,29.96,409.52,UPI,2024-03-09,19:03:08
Hebbal,MG Road,UberX,11.69,190.28,Wallet,2024-05-17,15:56:33
Electronic City,Hebbal,UberXL,39.42,523.04,Wallet,2024-12-10,01:16:20
Whitefield,Jayanagar,UberSUV,48.94,637.28,Wallet,2024-04-19,18:48:03
Hebbal,MG Road,UberGo,42.13,555.56,UPI,2024-04-01,17:52:23
Koramangala,Marathahalli,UberXL,45.61,597.32,Wallet,2024-11-07,00:50:10
Marathahalli,MG Road,UberXL,29.24,400.88,Wallet,2024-12-06,07:10:10
Marathahalli,Whitefield,UberSUV,31.28,425.36,Card,2024-10-29,09:22:57
MG Road,Marathahalli,UberGo,6.87,132.44,Cash,2024-03-03,05:41:04
Hebbal,Indiranagar,UberSUV,16.57,248.84,UPI,2024-05-29,10:57:41
Electronic City,Koramangala,UberXL,30.02,410.24,Card,2024-04-27,16:46:06
Hebbal,Koramangala,UberX,8.37,150.44,Card,2024-12-25,12:51:38
Marathahalli,Whitefield,UberX,38.7,514.4,UPI,2024-12-24,14:33:02
Marathahalli,Indiranagar,UberGo,18.35,270.2,Card,2024-06-08,11:00:47
Koramangala,MG Road,UberBlack,44.98,589.76,Cash,2024-02-03,06:29:15
Electronic City,Indiranagar,UberX,4.43,103.16,Wallet,2024-01-06,05:47:08
Indiranagar,MG Road,UberGo,25.64,357.68,UPI,2024-12-03,14:00:58
Indiranagar,Hebbal,UberXL,20.12,291.44,Card,2024-08-27,00:49:29
Jayanagar,Marathahalli,UberSUV,49.99,649.88,Card,2024-06-23,20:34:51
MG Road,Marathahalli,UberXL,7.24,136.88,Wallet,2024-10-28,21:36:56
Marathahalli,MG Road,UberGo,28.54,392.48,Card,2024-05-05,22:41:41
Marathahalli,Koramangala,UberX,37.79,503.48,UPI,2024-10-28,15:54:49
MG Road,Koramangala,UberBlack,25.97,361.64,Wallet,2024-03-09,00:42:21
Indiranagar,Koramangala,UberX,19.28,281.36,UPI,2024-08-30,15:19:36
Hebbal,Whitefield,UberXL,3.97,97.64,Cash,2024-10-14,05:59:06
Koramangala,Marathahalli,UberBlack,24.46,343.52,Cash,2024-06-19,12:45:40
Electronic City,MG Road,UberXL,7.22,136.64,UPI,2024-10-24,23:29:39
Marathahalli,Electronic City,UberXL,5.11,111.32,UPI,2024-07-07,23:56:18
Jayanagar,Whitefield,UberX,34.46,463.52,UPI,2024-04-18,02:17:34
MG Road,Hebbal,UberX,13.91,216.92,Card,2024-10-03,00:03:50
Electronic City,Hebbal,UberGo,23.5,332,Wallet,2024-04-04,05:18:48
MG Road,Hebbal,UberSUV,31.3,425.6,Cash,2024-03-02,21:36:59
Hebbal,Electronic City,UberXL,20.83,299.96,Cash,2024-04-18,13:10:34
MG Road,Jayanagar,UberGo,7.92,145.04,UPI,2024-06-15,21:37:19
Jayanagar,Hebbal,UberXL,43.77,575.24,UPI,2024-09-22,10:42:49
Indiranagar,MG Road,UberX,23.33,329.96,Wallet,2024-06-05,15:21:14
Marathahalli,Jayanagar,UberBlack,13.96,217.52,UPI,2024-08-30,23:35:14
Koramangala,Jayanagar,UberGo,12.32,197.84,UPI,2024-06-22,18:00:50
Electronic City,Jayanagar,UberSUV,36.23,484.76,Card,2024-05-27,23:05:55
Indiranagar,Whitefield,UberGo,27.31,377.72,Wallet,2024-07-27,09:40:08
Hebbal,Indiranagar,UberXL,8.97,157.64,UPI,2024-04-16,08:08:01
Electronic City,Marathahalli,UberGo,4.35,102.2,Cash,2024-05-15,09:01:48
Indiranagar,MG Road,UberBlack,7.52,140.24,Card,2024-04-06,23:01:31
Indiranagar,Whitefield,UberBlack,50,650,Cash,2024-01-31,22:07:06
Marathahalli,Koramangala,UberSUV,25.88,360.56,Cash,2024-08-06,11:14:05
Koramangala,Indiranagar,UberXL,45.03,590.36,Cash,2024-12-28,04:00:48
Whitefield,Electronic City,UberGo,11.71,190.52,UPI,2024-10-04,13:11:44
Whitefield,Indiranagar,UberGo,5.57,116.84,UPI,2024-04-30,15:15:08
Indiranagar,Marathahalli,UberXL,32.73,442.76,UPI,2024-11-16,02:13:53
MG Road,Koramangala,UberGo,3.88,96.56,Cash,2024-08-13,01:02:45
Hebbal,Jayanagar,UberSUV,45.77,599.24,Cash,2024-02-15,19:29:01
Koramangala,MG Road,UberX,34.16,459.92,UPI,2024-12-29,03:59:56
Indiranagar,Whitefield,UberGo,41.56,548.72,Cash,2024-01-26,02:57:24
Indiranagar,Hebbal,UberX,28.93,397.16,Card,2024-05-09,18:35:20
Electronic City,Hebbal,UberGo,43.11,567.32,Card,2024-12-14,02:16:47
Jayanagar,Indiranagar,UberXL,16.51,248.12,Cash,2024-10-07,21:44:24
Marathahalli,Electronic City,UberBlack,44.95,589.4,Wallet,2024-08-09,07:42:23
Hebbal,Koramangala,UberX,6.82,131.84,Cash,2024-11-21,18:21:02
Marathahalli,Jayanagar,UberBlack,21.23,304.76,UPI,2024-04-15,17:11:10
Hebbal,Electronic City,UberX,27.34,378.08,Card,2024-03-25,03:16:57
Indiranagar,Jayanagar,UberGo,21.07,302.84,Wallet,2024-01-06,01:27:40
Jayanagar,Whitefield,UberXL,9.78,167.36,Wallet,2024-11-27,17:22:46
Jayanagar,Electronic City,UberBlack,49.73,646.76,UPI,2024-03-13,15:42:59
Indiranagar,Whitefield,UberBlack,38.59,513.08,Card,2024-05-06,06:03:42
Marathahalli,Hebbal,UberX,43.36,570.32,UPI,2024-07-11,17:31:29
